,LISTENER
0,"월별 청취자 4,350,461명"
1,"월별 청취자 681,674명"
2,"월별 청취자 383,006명"
3,"월별 청취자 5,232,579명"
4,"월별 청취자 3,206,433명"
5,"월별 청취자 3,515,115명"
6,"월별 청취자 2,778,700명"
7,"월별 청취자 41,871,048명"
8,"월별 청취자 14,077,901명"
9,"월별 청취자 3,647,647명"
10,"월별 청취자 23,672,041명"
11,"월별 청취자 2,571,487명"
12,"월별 청취자 2,440,872명"
13,"월별 청취자 1,267,964명"
14,"월별 청취자 1,930,559명"
15,"월별 청취자 3,908,912명"
16,"월별 청취자 1,267,291명"
17,"월별 청취자 5,702,051명"
18,"월별 청취자 827,620명"
19,"월별 청취자 4,088,320명"
20,"월별 청취자 1,043,596명"
21,"월별 청취자 222,385명"
22,"월별 청취자 11,175,101명"
23,"월별 청취자 485,482명"
24,"월별 청취자 2,615,577명"
25,"월별 청취자 4,406,757명"
26,"월별 청취자 4,301,379명"
27,"월별 청취자 2,115,115명"
28,"월별 청취자 2,376,082명"
29,"월별 청취자 5,626,380명"
30,"월별 청취자 3,908,039명"
31,"월별 청취자 3,003,068명"
32,"월별 청취자 1,966,460명"
33,"월별 청취자 1,440,561명"
34,"월별 청취자 1,046,679명"
35,"월별 청취자 5,797,917명"
36,"월별 청취자 1,633,348명"
37,"월별 청취자 2,929,455명"
38,"월별 청취자 2,799,788명"
39,"월별 청취자 4,459,125명"
40,"월별 청취자 1,832,159명"
41,"월별 청취자 862,094명"
42,"월별 청취자 5,785,334명"
43,"월별 청취자 1,564,321명"
44,"월별 청취자 1,670,534명"
45,"월별 청취자 2,873,020명"
46,"월별 청취자 5,614,671명"
47,"월별 청취자 306,997명"
48,"월별 청취자 89,931명"
49,"월별 청취자 918,001명"
50,"월별 청취자 2,701,424명"
51,"월별 청취자 1,958,746명"
52,"월별 청취자 1,007,878명"
53,"월별 청취자 755,172명"
54,"월별 청취자 2,318,123명"
55,"월별 청취자 1,655,933명"
56,"월별 청취자 2,176,779명"
