,SUBSCRIBERS,LIKES,UPLOADS
0,"1,500,000","9,900,000",79
1,0,"5,700,000",49
2,"536,300","1,300,000",11
3,"1,500,000","6,800,000",18
4,"3,600,000","23,300,000",75
5,"2,200,000","35,400,000",190
6,"44,600,000","725,700,000",50
7,"27,500,000","237,600,000",101
8,"21,400,000","230,500,000",48
9,"3,400,000","40,900,000",68
10,"441,300","1,600,000",56
11,"9,400,000","128,400,000",148
12,"4,300,000","36,200,000",70
13,"3,900,000","62,300,000",100
14,"1,400,000","3,600,000",84
15,"1,100,000","15,400,000",117
16,"12,700,000","218,600,000",191
17,"955,900","7,100,000",101
18,"2,700,000","22,500,000",88
19,"9,300,000","179,500,000",94
20,"2,300,000","8,700,000",65
21,"5,600,000","72,400,000",247
22,"6,500,000","121,700,000",105
23,"1,800,000","6,000,000",28
24,"13,600,000","369,600,000",253
25,"3,600,000","56,300,000",91
26,"1,500,000","6,900,000",68
27,"1,800,000","9,500,000",74
28,"5,100,000","87,600,000",169
29,"892,400","5,700,000",34
30,"3,400,000","24,700,000",71
31,"869,500","4,700,000",45
32,"238,400","1,100,000",60
33,"986,700","12,500,000",89
34,"673,000","4,500,000",61
35,"1,200,000","13,200,000",358
