,SUBSCRIBERS,UPLOADS
0,"1,346,523","6,218"
1,"453,790","1,331"
2,"963,670","9,010"
3,"4,850,600","2,407"
4,"2,359,315","7,275"
5,"4,908,588","17,367"
6,"42,191,381","12,808"
7,"7,768,286","1,984"
8,"1,784,951","2,271"
9,"8,620,728","4,802"
10,"2,161,096","2,254"
11,"8,271,523","17,620"
12,"1,360,103","4,411"
13,"6,806,413","10,153"
14,"3,795,964","9,830"
15,"1,845,076","1,155"
16,"379,357","4,450"
17,"631,267","2,674"
18,"9,316,849","9,622"
19,"481,384",751
20,"2,991,158","10,270"
21,"5,909,361","1,421"
22,"12,348,945","3,648"
23,"6,721,229",996
24,"1,203,405","2,992"
25,"4,178,102","4,029"
26,"7,922,517","5,383"
27,"7,001,108","5,837"
28,"6,543,833","2,678"
29,"1,950,482","7,859"
30,"2,687,975","1,868"
31,"10,369,670","2,154"
32,"2,005,470","1,601"
33,"339,857","2,140"
34,"624,304","2,881"
35,"330,347",510
36,"80,009",872
37,"1,169,330","1,191"
38,"38,335",734
39,"3,676,280","2,528"
40,"163,630",730
41,"317,366","1,174"
42,"34,924",499
43,"1,511,632","9,997"
44,"811,449","4,096"
45,"374,062","2,209"
46,"407,484","1,990"
47,"256,351","5,454"
48,"35,965,057","9,850"
49,"5,545,067",472
50,"1,044,912","7,898"
51,"332,080","1,773"
52,"526,374","5,726"
53,"601,022","5,050"
54,"4,062,453","1,370"
55,"1,455,267","7,018"
56,"1,499,216","1,632"
57,"8,512,964","2,641"
58,"374,024","2,045"
