,SUBSCRIBERS,VIEWS,LIKES,UPLOADS
0,"1,220,471","5,901만",33억,534
1,"367,847","1,402만",15억,123
2,"1,227,055","8,133만",174억,649
3,"3,556,235","5,200만",32억,297
4,"3,425,507",1.22억,23억,774
5,"4,024,463",2.8억,162억,"1,279"
6,"33,675,376",119억,1568억,823
7,"14,898,463",5.98억,195억,488
8,"6,609,908","4,898만",8.16억,185
9,"500,593","3,826만",22억,141
10,"6,225,366",7.12억,168억,"1,158"
11,"6,047,628",10억,333억,"1,325"
12,"3,321,360",1.19억,88억,943
13,"723,266",286만,1.32억,28
14,"3,263,428",1.23억,48억,718
15,"333,383","5,251만",22억,610
16,"9,391,203",12억,311억,"1,746"
17,"532,463","7,538만",61억,603
18,"1,785,657","8,366만",73억,440
19,"3,236,327",1.22억,56억,209
20,"12,257,029",3.1억,209억,553
21,"5,019,961",1.99억,41억,742
22,"2,879,503","8,881만",50억,754
23,"6,437,556",5.3억,259억,798
24,"1,333,959",3.37억,62억,"1,594"
25,"1,632,458","9,877만",129억,479
26,"6,477,219",2.78억,134억,530
27,"1,130,813","1,409만",10억,41
28,"543,177","1,416만",3.86억,570
29,"535,865",833만,1.49억,261
30,"213,547",125만,5.46억,41
31,"647,667",927만,"8,688만",173
32,"4,503,008","2,012만",3.63억,148
33,"37,478",55.9만,852만,64
34,"388,348",281만,"2,464만",79
35,"175,078","2,744만",2.4억,214
36,"17,234",17.3만,529만,11
37,"39,081",16.7만,163만,4
38,"2,629,334","8,822만",27억,668
39,"879,879",1.79억,124억,"1,603"
40,"143,318",240만,"8,964만",62
41,"753,388",1.06억,83억,930
42,"93,720",292만,2.93억,287
