,SUBSCRIBERS,VIEWS,DATE,UPLOADS
0,3.29M,"1,028,298,996","Apr 19th, 2018",203
1,1.11M,"182,826,040","Jul 17th, 2019",123
2,1.58M,"237,486,461","Jan 16th, 2012",658
3,4.63M,"721,038,021","Jul 23rd, 2014",153
4,6.4M,"1,797,654,920","May 30th, 2014",627
5,2.25M,"287,094,025","Nov 14th, 2017",139
6,61.8M,"14,170,717,218","Dec 17th, 2012","1,647"
7,70.4M,"21,537,403,090","Jun 29th, 2016",395
8,3.37M,"13,170,151","Dec 17th, 2019",3
9,9.23M,"388,942,999","Oct 25th, 2018",21
10,7.07M,"62,331,007","Jan 13th, 2021",4
11,13.9M,"6,842,596,124","Oct 10th, 2005",773
12,2.12M,"67,005,755","Jul 17th, 2012",0
13,2.24M,"215,954,777","Jan 22nd, 2006",156
14,7.28M,"2,413,557,609","Nov 16th, 2012",974
15,2.19M,"113,769,729","Jan 15th, 2006",221
16,8.1M,"1,328,084,521","May 12th, 2017",524
17,4.54M,"449,982,621","Aug 13th, 2015",472
18,3.02M,"449,155,037","Jun 26th, 2020",96
19,3.79M,"1,216,002,105","Dec 10th, 2013",452
20,533K,"37,186,710","Mar 2nd, 2020",386
21,12.6M,"2,717,845,240","Mar 27th, 2016",707
22,537K,"36,439,857","Feb 15th, 2019",312
23,2.54M,"281,694,913","Jun 27th, 2018",392
24,4.77M,"346,677,706","Aug 10th, 2020",426
25,8.55M,"533,514,266","Dec 10th, 2006",228
26,3.69M,"46,356,290","May 10th, 2019",16
27,8.43M,"2,164,397,665","Sep 3rd, 2014",470
28,6.36M,"1,202,144,760","Jan 14th, 2019",501
29,4.62M,"333,347,604","Mar 14th, 2016",249
30,4.29M,"487,631,393","Jun 7th, 2017",291
31,4.26M,"483,311,786","Jun 7th, 2017",244
32,1.71M,"334,941,101","Feb 24th, 2017",537
33,4.73M,"944,898,414","Feb 8th, 2019",294
34,8.32M,"590,724,633","Dec 21st, 2018",911
35,3.24M,"277,743,259","Nov 27th, 2018",284
36,1.32M,"278,350,813","Aug 25th, 2018",161
37,2.64M,"709,814,250","Mar 13th, 2014",148
38,1.59M,"73,670,757","May 25th, 2017",101
39,7.18M,"1,166,874,847","Feb 13th, 2017",136
40,282K,"201,108,780","Feb 6th, 2018",93
41,2.49M,"175,721,211","Sep 29th, 2007",79
42,1.29M,"46,796,705","Jan 4th, 2014",27
43,1.68M,"376,978,065","Oct 4th, 2012",105
44,428K,"23,423,701","May 26th, 2019",65
45,479K,"81,746,244","Aug 12th, 2016",184
46,304K,"202,142,417","Oct 30th, 2019",63
47,2.87M,"399,182,862","Sep 3rd, 2019",71
48,1.78M,"449,394,129","Mar 15th, 2012",618
49,920K,"73,772,107","Sep 12th, 2016",300
50,277K,"347,847,863","Mar 25th, 2015",297
51,273K,"18,721,622","Nov 18th, 2019",232
52,63.1M,"20,577,489,492","Jun 4th, 2008",728
53,29.4M,"23,088,011,150","Mar 18th, 2006","3,781"
54,23.1M,"15,069,349,210","Jan 25th, 2008","1,429"
